idx,nltk
0, analista bi pl levantamento requisitos negócio métricas construção indicadores gráficos necessário ensino superior completo pós-graduação completa cursando áreas plataformas mv 2000 soul mv análise negócio lanalista bi pl levantamento requisitos negócio métricas construção indicadores gráficos análise negócio linguagem sql ddl dql dml dcl modelagem multidimensional datawarehouse etl pentaho sql server integration service talend hadoop análise exploratória visualização tableau qlik sense power bi microstrategy microsoft excel python gerenciamento banco relatórios necessário ensino superior completo pós-graduação completa cursando áreas plataformas mv 2000 soul mv
1, desenvolver ferramentas relatórios acordo demanda cada área atuando automatização melhoria processos acompanhamento indicadores participar todos projetos envolvam área bi idioma inglês - intermediário
2, realizar análise relatórios mídias sociais digitais identificar maior veículo fluxo vendas fazer comparativo resultados equipe vendas realizar análise resultados frente divugações sugerir estratégias planejamentos experiencia emissão relatorios marketing experiencia elaboração relatorios power bi ensino superior completo cursando marketing áreas correlatas ter trabalhado power bi
3, analisa levanta requisitos define modelagem modelos serem tratados transformados estuda melhor ferramenta extração macrostrategy power bi
4, levantamento requisitos negócio métricas construção indicadores gráficos necessário ensino superior completo análise negócio linguagem sql ddl dql dml dcl modelagem multidimensional datawarehouse etl pentaho sql server integration service talend hadoop análise exploratória visualização tableau qlik sense power bi microstrategy microsoft excel python gerenciamento banco relatórios pós-graduação completa cursando áreas plataformas mv 2000 soul mv análise negócio linguagem sql ddl dql dml dcl modelagem multidimensional datawarehouse etl pentaho sql server integration service talend hadoop
5, responsável manter infraestrutura operações etl warehouse sql server integration services bem alguns dashboards existentes elaboração novos power bi interagir demais áreas acesso levantar requisitos servirão suporte ambiente analítico manutenção warehouse arquitetura organização manutenção disponibilidade bases documentação modelagem dimensional mart warehouse modelos start-schema snowflake padronização tratamento funções scripts sql etl manutenção rotinas atualização dw bem automações cargas manutenção eventuais criações conexões bancos via linked server manutenção scripts existentes extração sistemas via api python novos dashboards power bi manutenção dashboards existentes power bi manutenção bases cubos usados outras áreas empresa ter visão sistêmica identificar melhor solução suprir necessidades áreas clientes empresa áreas bi manutenção warehouse power bi sql python básico boa comunicação etl dw noções metodologia ágil
6, realizar desenvolvimento etl construção relatórios dashboards microsoft power bi prestar suporte técnico dashboards criados manutenção evolução desenvolver implementar indicadores modelos processos carga modelagem superior completo ticertificação power bi microsoft 70-778 da-100 bi analista banco dados.conhecimento ms-sql serverconhecimentos sgbdsconhecimento qlikview
7, manutenção dw sql server 2017 superior extração transformação ssis sqlserver integration services elaboração painéis power bi publicação office365 corporativo área descritas funções
8, analisa levanta requisitos define modelagem modelos serem tratados transformados estuda melhor ferramenta extração domínio bi microsoft power bi
9, implementação manutenção evolução dw dataware house implementar efetuar manutenção rotinas etl extração transformação carga dentro sistemas globais manutenção evolução bi atual elaboração relatórios gerenciais manutenção conferência níveis segurança informação rls superior completo cursando área ferramenta power bi sql server linguagem dax m r dax colunas medidas calculadas direct query gateway powerbi instalação configurações manipulação base vivência etl vivência sql conceitos api rest lógica programação power bi outra ferramenta bi
10, apoiar execução projetos banco business intelligente bi deverá profissional proativo antenado power bi banco oracle mysql requisitos habilidade modelagem banco relacionados dimensionais domínio linguagem sql escolaridade ciências computação sistemas informação engenharia computação
11, manipulação disponibilização informações facilitem tomadas decisão gerenciais contribuir melhoria agilidade processos padronização informações área otimização resultados indicadores áreas envolvidas rh superior completo gestão rh administração empresas área ti excel avançado sql intermediário sistema totvs gestão pessoas
12, eleflow nasceu tornar big analytics machine learning acessíveis empresas desenvolvedores engenheiros cientistas analistas experientes motivados curiosos diferenciadores projetos atuamos requisitos · ferramentas visualization power bi looker tableau qlik redash dax· desenvolvimento dashboards power bi· avançado dax analysis expressions · básico sql construção consultas bancos dados· modelagem voltada bi foco performance relatórios· desenvolvimento métricas kpis traduzem necessidades áreas negócio· facilidade compreensão regras negócio objetivo propor soluções bi.requisitos desejáveis · ambientes nuvem bi sabendo publicar compartilhar gerenciar dashboards.· story telling organizado senso urgência priorização demandas.· habilidades boas práticas relacionadas ux
13, desenvolvimento instrumentos análise gerencial subsídio análise negócios construção dashboards power bi outras ferramentas apresentação elaboração consultas sql levantamento informações base clientes resultado/desempenho desenvolvimento análises planejamento sistematização acordo política definida precisa formação superior completa cursos administração sistemas informação ciência computação engenharia software manipulação análise power bi avançando office ms excel estratégias inteligência mercado banco modelagem manipulação especialização áreas ti bi conhecimento/interesse mercado financeiro conhecimento/vivência metodologias ágeis além disso gostamos trabalhar pessoas gostem trabalhar equipe gostem escrever bem encantar comunicação gostem tecnologia comunicativas abertas criativas curiosas atenção detalhes flexíveis proativas quais benefícios oferecer academia mercantil desenvolvimento participação lucros resultados plano saúde plano odontológico auxílio alimentação refeição seguro vida previdência privada gympass auxílio creche-babá todas vagas direcionadas pcds aqui mb ninguém fica ! comunicado importante vaga trata-se banco talentos seguirá algumas etapas processo seletivo conosco ficará base futuras oportunidades
14, profissional avançado excel trabalhará excel diariamente fará levantamento indicadores àreas empresa operacionais comercial todo levantamento indicadores fazer relatórios gerenciais ajudar gestão tomada decisão estratégia negócio qualificações necessário ter avançado excel facilidade trabalhar números indicadores grande detalhes avançado power bi local trabalho jaçanã contratação pj ético raciocínio lógico informática boa comunicação verbal negociar processar informações habilidade trabalhar equipe pensamento estratégico matemática excel
