idx,nltk
0, utilizar inteligência big aprendizado máquina produzir análises detalhadas sobre comportamento modelos estatísticos fontes outras questões estratégicas realizar levantamento desses gerando insights novos produtos visões análises marketing/negócios obtidas google analytics fraudes anomalias operações negócios produzir modelos estatísticos preditivos aplicar técnicas agrupamento classificação produzir recomendar algoritmos explorar arquitetura armazenagem sugerir implantar ferramentas coleta armazenamento análise linguagens computacionais estatísticas python sql linguagem r etc manipular obter insights grandes sets análise bancos relacionais relacionais zoho analytics contribuições open source ter trabalhado aplicado deep learning variedade técnicas machine learning técnicas conceitos avançados estatística aplicações idioma inglês - intermediário
1, plataforma azure componentes datafactory databricks desenvolvimento dashboard powerbi extração manipulação partir planilhas arquivos bases vivência linguagem programação base pl/sql python consumo informações rest prática webscraping idioma espanhol - intermediário inglês - intermediário
2, colaborar estatísticos engenheiros machine learning economistas especialistas linguagem nlp nlu nlg resolver problemas science auxiliar dar suporte limpeza dataset feature engineering atuar desenvolvimento melhoria interativa base soluções aprendizado máquina potencialize principal produto chatbot trabalhar conjunto engenheiro arquitetos datasets formato necessário treinamento múltiplos modelos coletar limpar armazenar organizar integrar ajudar pipelines equipe engenheiros realizar análises descritivas exploratórias modelagem preditiva aplicar aprendizado máquina realizar simulações análise texto visualização interativa auxiliar expansão ciência frentes negócios participar reuniões clientes
3, eleflow nasceu tornar big analytics machine learning acessíveis empresas desenvolvedores engenheiros cientistas analistas experientes motivados curiosos diferenciadores projetos atuamos reunir interpretar comunicar toda informação relevante contida toneladas diariamente empresas armazenam sobre comportamento pessoas clientes prospects funcionários etc menos destas linguagens python sql r scala menos destes frameworks spark pyspark databricks watsonstudio sagemaker scikit-learn menos ambiente cloud aws azure gcp ibm cloud estatística análise exploratória teste hipóteses modelo preditivo prescritivo menos destes pacotes análise machine learning pandas numpy matplotlib requisitos desejáveis · prévia desenvolvedor modelos random forest xgboost versionamento revisão código git github gitlab · story telling organizado senso urgência priorização
4, bi warehouse/data lake transformação meio etls/elts soluções nuvem preferência microsoft azure apis extração manipulação sql server integration services sql server analysis services python power bi modelagem boa comunicação relacionamento áreas técnicas capacidade analítica agilidade flexibilidade organização autogerenciável resolução problemas
5," nexoos nasceu sonho fomentar empreendedorismo revolucionar sistema financeiro brasil plataforma líder brasil modelo peer to peer lending crédito online empresas conectando investidores buscam diversificar carteiras empresas procura investimentos justa eficiente apaixonados tecnologia primeira fintech operar s.e.p nova modalidade instituição financeira brasil atuamos intermediários porque aqui lucra clientes banco acredita propósito quer crescer lado melhores área junte-se ! fazemos diferença senso dono sonhamos democratizar sistema financeiro brasileiro agimos coragem prol pequenas médias empresas todo brasil tão impactadas crise econômica focamos resultado dedicamos conquistar melhores investidores país resilientes encontramos alternativas driblar superar obstáculos focamos cliente entregar única acima expectativa divertir aliando crescimento pessoal profissional colaborar próximo incansavelmente melhor versão excelência todos dias # nexoos trata vaga vaga cientista júnior responsável participar ciência levar equipe nexoos melhor termos ciência automação trabalhando perto modelos melhoram eficiência análises crédito ajudam outras áreas serem eficientes tomar decisões assertivas esperamos entusiasmo aprender utilizar matemática econometria estatística gostar ambiente laboratorial trabalhamos fronteira processo errar estar disposto fazer tudo outra vez diferente deve levado naturalidade gostar programar hoje trabalhamos knime python ter concluído curso exatas pragmático trabalhamos orientados resultado responsabilidade vaga pró-ativo aprender rapidamente saber relatar acontecido ter ciência fazendo responsabilidade excelência técnica fazemos análises coletamos modo companhia possa tomar melhor decisão possível momento correto pontos extras ter coordenador equipes design scrum metodologias ágeis benefícios nexeer fazer parte constitui maior fintech marketplace lending américa latina ambiente dinâmico colaborativo inovador conseguir acompanhar mercado continuar inovando ritmo acelerado curva aprendizado alta além disso valorizamos ambiente informal contato direto constante sócios ceo honestidade desenvolvimento aqui encontrará ambiente valoriza feedbacks 360° 1:1 acreditamos honestidade fórmula desenvolvimento individual trabalho equipe localização acessível atualmente escritório encontra lado metrô faria lima fácil acesso através transporte público achamos essencial escritório acessível próximo maiores polos comércio finanças país gympass plataforma dá benefícios 18 mil academias brasil academias conveniadas oferecidas 700 modalidades esportivas incluindo aulas dança artes marciais musculação yoga aulas aquáticas pilates massagem ! posher benefícios in-company plataforma oferece diversidade serviços online aumentar bem-estar ajudar relaxar ! acesso aulas online yoga pilates mindfulness consultas nutricionistas psicólogos aulas inglês espanhol tudo perder tempo deslocamento ! plano saúde unimed parceria vitta ! dando direito colaborador primecare equipe saúde 24/7 tecnologia proprietária próprio pode acessada via whatsapp app atendido médicos plantão direito 90 % subsídio medicamento reembolso r $ 220,00 consulta auxílio creche cartão crédito caju ! quer gastar comida ! tal usar vr ir cinema academia cartão caju dá liberdade colaborador fazer quiser vale refeição vale transporte nexoos sim afim aprender trabalhar comemorar conquistas quer participar crescimento acelerado fintechs crescem brasil quer aperfeiçoar desenvolver profissional sente responsável mundo redor quer trabalhar mudar melhor possui tecnologia dna procura emprego cômodo confortável estabilizar buscando apenas emprego bom salário benefícios aí gostou vaga viu perfil procuramos vem fazer diferença gente ! conhecer"
6, modelos estatística machine learning otimização teoria financeira comunicar aspectos técnicos resultados analíticos clientes interno externos diferentes backgrounds responsabilizar projetos aspectos técnicos início fim trabalhar próxima engenheiros cientistas equipes produto negócio entrega insights qualidade robustez buscar proativamente oportunidades melhorias processos existentes modelagem estatística técnicas machine learning exploração hipóteses partir problema negócios desenho experimentação através interpretação métricas sucesso testes hipóteses a|b comprovação rejeição hipótese habilidade apresentações resultados projetos ciência compreensível áreas negócios perda rigor científico computação nuvem azure linguagem sql python bibliotecas ml familiaridade versionamento código git
7, modelo n-grama cadeia markov modelos palavras classificação texto classificação compressão recuperação informação busca indexação texto apache lucene busca indexação texto algoritmo pagerank busca textual algoritmos analise links hits modelo n-grama cadeia markov modelos palavras classificação texto classificação compressão modelos probabilísticos extração informação ferramentas apis especialistas análise texto leitura máquina extração informações extração entidades sistemas tradução automática tradução estatística sumarização automática reconhecimento voz nlp som tts texto fala nlp som stt fala texto fundamentos nlp análise sentimentos transformação preparação linguagens naturais banco nosql relacional desenvolvimento container alguma linguagem programação java python scala dentre outras soluções indexação busca solr lucene elastic search linguagem funcional
8, casa casa video carioca gema líderes vendas varejo fluminense setores utilidades domésticas ferramentas climatização eletroportáteis estado rio janeiro paulo espírito santo minas gerais franca expansão casa cheia oportunidades crescimento clima alegre descontraído tudo dê certo lojas enorme trabalha administração centro distribuição significa espaço quer fazer parte desta equipe forte ! capacidade trabalhar grupo sentimento dono empatia garra disposição características fáceis aqui graduação completa estatística ciência computação análise sistemas áreas ter machine learning cloud computing serviços amazon aws azure similar programação python r sql vivência analisar desestruturados munging ingestion web scrapping ambientes big containers apis varejo perfil criativo autogestão alta capacidade analítica cabeça aberta técnicas soluções
9, procuramos alguém ... atue trabalho cooperativo equipe multiskill formação ciências estatística física matemática engenharia computação economia ciências atuariais similares estatístico análise estatística capacidade analítica atue geração insights negócio aplicação modelos preditivos faça desenvolvimento dashboars visão business esperamos sql pyhton r ferramentas visualização powerbi tableau etc excel avançado inglês intermediário
