idx,nltk
0, versionamento manutenção workflows consumo carregamento processamento scripts etl deploy modelos preditivos estrutura acompanhamento métricas testes a/b modelos manutenção base análises relatórios coletar limpar combinar tratar diferentes fontes implementar processos automatizados quality integração ferramentas governança gerenciamento contribuir arquitetura organização apoiar manutenção ambiente big práticas devops dataops disseminação boas práticas engenharia realizar reviews código garantir qualidade código realizar estimativas análises técnicas estórias formação ciências computação engenharia computação sistemas informação análise desenvolvimento sistemas áreas correlatas avançado python scala java linux imprescindível ferramenta spark outras ferramentas databricks aws azure avançado sql banco relacionais relacionais processamento streaming batch cdc - change capture raciocínio lógico pensamento analítico noções kubernetes docker arquitetura big construção api git web scrap
1, trabalhará estreita colaboração equipe desenvolvimento bem outras áreas empresa melhorar apoiar tomada decisão - coleta análise interpretação - comparações estatísticas - geração relatórios documentação projeto/produto - busca/pesquisa ferramentas tecnologias mercado - tratamento/extração análise ingestão clusters big - executar apresentações explorar expor resultados obtidos - pipelines confiáveis requisitos - bancos sql relacionais postgres rds - banco relacionais mongodb - ferramentas etl pipelines - ferramentas visualização metabase outras - limpeza avaliação perfil profissional - hands on disposto fazer área - profissional multi skills mente aberta aprender tecnologias ferramentas - proativos dinâmicos disposição aprender algo novo todos dias - motivados fazer parte busca entregar resultados simples eficiente sustentável - capacidade gerenciar próprio tempo - iniciativa capacidade trabalhar independente equipe idioma inglês - intermediário
2, responsável gerenciar otimizar supervisionar monitorar recuperação armazenamento distribuição toda organização engenheiros membros vitais qualquer equipe corporativa análise
3, bacharelado mis cis estatística negócios área relacionada - profissional relevante - trabalhando hadoop outra plataforma grandes construindo soluções agregam valor através alavancagem ativo - proficiência aws drone github - construção dutos lote streaming sqoop kafka spark - básico hive neo4j - capacidade demonstrada definir conceitos padrões arquitetônicos criando capacidades acesso escaláveis sustentáveis - trabalhando sql queries/views paradigmas nosql estruturas gráficos - forte trabalhar projetar ci/cd automação - capacidade pensar além frameworks edw esb trata - demonstrada trabalhando desenvolvimento software ponta ponta metodologia ágil/scrum - motivado aprendizado experimentação especialmente grupo pequeno ágil colegas - sobre podem valor negócios/domínio através ciclo vida apetite construir habilidade longo tempo - fortes habilidades interpessoais capacidade demonstrada construir confiança fortes relacionamentos - fortes habilidades comunicação apresentação - orientação resultados capacidade trabalhar situações ambíguas onde exigências claras especificações detalhes etc - forte força conceitual pensamento estratégico resolução problemas habilidades técnicas analíticas - aplicação demonstrada forte consciência mercado foco cliente - capacidade usar abordagem empreendedora resolver problemas comerciais - capacidade fazer perguntas próximo antecipando consultas comerciais realizando análise causa raiz
4, tratamento bi service necessário função/área ensino superior função
5, projetar modelar documentar implementar warehouses banco oracle projetar modelar documentar implementar lake realizar ingestão batch streaming carga diferentes fontes organização segurança integração repositórios auxiliar cientistas analistas analisar big oferecer soluções analíticas pipelines completo análise participar análise levantamento escopo assim execução projetos definir necessárias realização projetos analisando impactos sistemas processos através entendimento necessidade técnico arquitetônico sistemas prestar consultoria apoiar áreas clientes demais áreas ti proporcionando esclarecimento dúvidas relacionados projeto contribuindo melhor análise impactos processos sistemas sob responsabilidade participar liderar reuniões planejamento acompanhamento projetos necessário executar desenvolvimento execução testes necessários garantir qualidade performance entrega participar planejamento liberação produto homologação produção meio validação testes aceite assim documentação conformidades avaliando planejando execução correções reportadas desenho implantação soluções bi analytics ferramentas etl integração big ecossistema hadoop spark sqoop mapreduce etc métodos ágeis scrum kanban liderança projetos warehouses design implementação integração tradicional etl ibm stage 8.5 11.3 técnica oracle 12g modelagem manipulação lakes kafka sqoop spark streaming hadoop desejada analytics visualização relatórios tomada decisões big power bi tableau
6, gosta desafios gerando falcões inaugurando nova posição engenheiro dados.se pronto colocar mão massa fazer acontecer então vaga perfeita ! vem gente vem falcão ! ensino superior completo ciência computação engenharia computação áreas relacionadasinglês básicodomínio linguagem sql pythondomínio banco sql server oracle mysql nosqldomínio ingestão integração processamento armazenamento dadosconhecimento ferramentas etl pentaho ssis factoryconhecimento desenvolvimento api'sconhecimento ferramentas report visualização inteligência power bi datastudio tableau
7, pipelines leitura transformação carga processamento fontes oracle sql text files api # 39s json xml organizando lake ambiente warehouse bancos sql comunicação web webservices web api # 39s organização lakes plataformas big azure lake python apache airflow apache spark
8, desenvolvimento soluções grandes volumes offline real ajudar expansão plataforma analítica foco self service analytics ferramental big garantir preparação modelos indicadores parear times negócios construção otimização etl avançados sql modelagem dimensional reporting dashsboards power bi elevantamento requisitos pipelines streaming batch linguagens programação java python scala otimização performance processos spar tecnologias apache airflow spark kafka aws redshift emr s3 glue hive athena ferramentas automação provisionamento
9, empresa grupo américa móvil 30 anos mercado soluções digitais serviços ti américa latina estados unidos desde 2010 conquistas têm crescido sustentá-las contamos aproximadamente 3.000 engajados desenvolvimento consistente negócio país apostamos talentos trabalho equipe diversidade ambiente inclusivo acreditamos desenvolvimento pessoas empoderamento meio superação limites promoção resultados bordo programas jovem aprendiz estágio trainee apoiamos boas práticas sustentabilidade requisitos necessários superior completo tecnologia informação engenharia computação ciência computação áreas correlata linguagens programação java python sql bancos nosql graph db document db hbase bigtable google cloud plataform pub/sub bigquery dataflow requisitos desejáveis kubernetes janusgraph princpais atribuições construir gerenciar evoluir pipeline definir arquitetura soluções técnicas projetos coleta combinação disponibilização configurar/desenvolver ingestão garantir disponibilidade performance plataforma implementar/gerir métodos confidencialidade disponibilização integração desenvolver estrutura informações importante todas vagas elegíveis deficiência equidade gênero raça/ etnia
