titulo;url;regiao;descricao
Analista de BI;https://www.catho.com.br/vagas/analista-de-bi/18661065/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Analista de BI Pl  Levantamento de requisitos de negócio, definição de métricas e construção de indicadores e gráficos.  Necessário: Ensino Superior Completo.  Desejável: Pós-Graduação completa ou cursando nas áreas afins.  Desejável conhecimento das plataformas MV 2000 e Soul MV.  Análise de Negócio:  LAnalista de BI Pl  Levantamento de requisitos de negócio, definição de métricas e construção de indicadores e gráficos.  Análise de Negócio:  Linguagem SQL: DDL, DQL, DML e DCL.  Modelagem multidimensional para Datawarehouse.  ETL: Pentaho, SQL Server Integration Service, Talend ou Hadoop  Análise exploratória e visualização de dados com Tableau, Qlik Sense, Power BI, MicroStrategy, Microsoft Excel ou Python.  Gerenciamento de banco de dados e relatórios. Necessário: Ensino Superior Completo.  Desejável: Pós-Graduação completa ou cursando nas áreas afins.  Desejável conhecimento das plataformas MV 2000 e Soul MV.
Analista de BI Junior;https://www.catho.com.br/vagas/analista-de-bi-junior/18662182/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Desenvolver ferramentas e relatórios de acordo com a demanda de cada área, atuando na automatização e melhoria de processos. Criação e acompanhamento de indicadores. Participar de todos os projetos que envolvam a área de BI.  Idioma:  Inglês - Intermediário
Analista de BI;https://www.catho.com.br/vagas/analista-de-bi/18658781/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Realizar análise dos relatórios das mídias sociais e digitais.  Identificar maior veículo de fluxo de vendas.  Fazer um comparativo dos resultados da equipe de vendas.  Realizar análise de resultados frente às divugações e sugerir estratégias e planejamentos. Experiencia com emissão de relatorios de marketing. Experiencia com com elaboração de relatorios com o uso do Power BI.  Ensino Superior completo ou cursando Marketing ou áreas correlatas.  Ter trabalhado com Power BI.
Analista de BI Sênior;https://www.catho.com.br/vagas/analista-de-bi-senior/18663692/?origem_apply=busca-de-vagas&entrada_apply=direto;Sorocaba - SP (1);Analisa e levanta requisitos, define modelagem e modelos de dados a serem tratados e transformados e estuda a melhor ferramenta para extração de dados. Conhecimentos em Macrostrategy e Power BI.
Analista de BI;https://www.catho.com.br/vagas/analista-de-bi/18657533/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Levantamento de requisitos de negócio, definição de métricas e construção de indicadores e gráficos.  Necessário: Ensino Superior Completo.  Análise de Negócio:  Linguagem SQL: DDL, DQL, DML e DCL.  Modelagem multidimensional para Datawarehouse.  ETL: Pentaho, SQL Server Integration Service, Talend ou Hadoop  Análise exploratória e visualização de dados com Tableau, Qlik Sense, Power BI, MicroStrategy, Microsoft Excel ou Python.  Gerenciamento de banco de dados e relatórios.  Desejável: Pós-Graduação completa ou cursando nas áreas afins.  Desejável conhecimento das plataformas MV 2000 e Soul MV. Análise de Negócio:  Linguagem SQL: DDL, DQL, DML e DCL.  Modelagem multidimensional para Datawarehouse.  ETL: Pentaho, SQL Server Integration Service, Talend ou Hadoop
Analista de BI III;https://www.catho.com.br/vagas/analista-de-bi-iii/18649824/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Responsável por manter a infraestrutura e operações de ETL e do Data Warehouse (SQL Server e Integration Services) bem como alguns dashboards já existentes e elaboração de novos (Power BI).  Interagir com as demais áreas de Acesso, para levantar requisitos que servirão de suporte ao ambiente analítico. Manutenção do Data Warehouse: arquitetura, organização e manutenção da disponibilidade das bases de dados e documentação. Modelagem dimensional (Data Mart e Data Warehouse). Utilização de modelos start-schema e snowflake. Padronização e tratamento de dados (Utilização de funções e scripts SQL), ETL, manutenção de rotinas de atualização do DW, bem como as automações de suas cargas. Manutenção e eventuais criações de conexões entre bancos via linked server. Manutenção dos scripts já existentes de extração de dados em outros sistemas via API usando Python. Criação de novos Dashboards em Power BI. Manutenção de Dashboards existentes em Power BI. Criação e manutenção de bases de dados e cubos usados por outras áreas da empresa. Ter visão sistêmica para identificar a melhor solução para suprir as necessidades das diversas áreas clientes da empresa. Experiência em áreas de BI. Conhecimento em manutenção de Data Warehouse. Conhecimento em Power BI. SQL. Python (básico).  Boa comunicação. ETL. DW. Desejável: Noções de Metodologia Ágil.
Analista de BI Sênior;https://www.catho.com.br/vagas/analista-de-bi-senior/18578939/?origem_apply=busca-de-vagas&entrada_apply=direto;Brasilia - DF (1);Realizar o desenvolvimento de ETL na construção de relatórios e dashboards no Microsoft Power BI. Prestar suporte técnico em dashboards já criados (manutenção e evolução). Desenvolver e implementar indicadores, modelos, processos de carga e modelagem de dados. Superior completo em TICertificação Power BI (Microsoft 70-778 e/ou DA-100)Experiência em BI e/ou como analista de banco de dados.Conhecimento em MS-SQL ServerConhecimentos em SGBDsConhecimento em QlikView.
Analista BI Sênior;https://www.catho.com.br/vagas/analista-bi-senior/18642518/?origem_apply=busca-de-vagas&entrada_apply=direto;Guarulhos - SP (1);Atuação em criação e manutenção de DW em SQL Server 2017 ou superior e extração e transformação de dados com SSIS (SQLServer Integration Services). Elaboração de painéis em Power BI com publicação no Office365 Corporativo. Experiência na área e atividades descritas. Conhecimento nas funções.
Analista BI Microsoft;https://www.catho.com.br/vagas/analista-bi-microsoft/18642565/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Analisa e levanta requisitos, define modelagem e modelos de dados a serem tratados e transformados e estuda a melhor ferramenta para extração de dados. Domínio BI Microsoft. Conhecimento em Power BI (diferencial).
Analista de BI;https://www.catho.com.br/vagas/analista-de-bi/18635488/?origem_apply=busca-de-vagas&entrada_apply=direto;Castanhal - PA (1);Implementação, Manutenção e evolução da DW (Dataware House) Implementar e efetuar a manutenção de rotinas de ETL (Extração, Transformação e Carga) de dados dentro de nossos sistemas globais Manutenção e evolução do BI atual Elaboração de relatórios gerenciais Manutenção e conferência de níveis de segurança da informação (RLS). Superior completo ou cursando na área. Experiência ferramenta Power BI, SQL Server experiência com linguagem DAX e M, R, DAX. Criação de colunas e medidas calculadas. Direct query Gateway de dados PowerBi (instalação e configurações). Manipulação de Base de Dados. Vivência em ETL. Vivência em SQL. Conceitos de API Rest. Lógica de programação. Conhecimento em Power BI ou outra ferramenta de BI
