titulo;url;regiao;descricao
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18664788/?origem_apply=busca-de-vagas&entrada_apply=direto;Curitiba - PR (1);Utilizar a inteligência de dados, Big Data e aprendizado de máquina para produzir análises detalhadas sobre comportamento de usuários, modelos estatísticos, fontes de dados e outras questões estratégicas Realizar o levantamento desses dados gerando insights de novos produtos e visões, análises de marketing/negócios obtidas no Google Analytics e para encontrar fraudes ou anomalias em operações de negócios Produzir modelos estatísticos e preditivos Aplicar técnicas de agrupamento e classificação, produzir (ou recomendar) algoritmos e explorar dados Criar uma arquitetura para armazenagem de dados Sugerir e implantar novas ferramentas de coleta, armazenamento e análise de dados. Experiência usando linguagens computacionais estatísticas (Python, SQL, linguagem R e etc.) para manipular dados e obter insights de grandes data sets Experiência com análise de dados em bancos relacionais e não relacionais. Conhecimento em Zoho Analytics Contribuições open source Ter trabalhado e aplicado em deep learning Conhecimento de uma variedade de técnicas de machine learning Conhecimento de técnicas e conceitos avançados de estatística e experiência com suas aplicações.  Idioma:  Inglês - Intermediário
Cientista de Dados Pleno;https://www.catho.com.br/vagas/cientista-de-dados-pleno/18643643/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Experiência na plataforma Azure com os componentes DataFactory, DataBricks e desenvolvimento de Dashboard em PowerBI Experiência em extração e manipulação de dados a partir de planilhas, arquivos e bases de dados Vivência em linguagem de programação de base de dados: PL/SQL, Python Bons conhecimentos em consumo de informações por REST e prática de Webscraping.  Idioma:  Espanhol - Intermediário, Inglês - Intermediário
Cientista de Dados BI;https://www.catho.com.br/vagas/cientista-de-dados-bi/18650394/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Colaborar com um time de estatísticos, engenheiros em machine learning, economistas e especialistas em linguagem (nlp, nlu, nlg) para resolver problemas usando Data Science. Auxiliar e dar suporte ao time na limpeza do Dataset e em Feature Engineering. Atuar na criação, desenvolvimento e melhoria interativa da base de conhecimento para soluções de aprendizado de máquina que potencialize nosso principal produto de Chatbot. Trabalhar em conjunto com o engenheiro de dados e arquitetos de dados na criação de Datasets, no formato necessário para treinamento de múltiplos modelos. Coletar, limpar, armazenar, organizar, integrar dados e ajudar na criação de pipelines de dados (com a equipe de engenheiros). Realizar análises descritivas e exploratórias, modelagem preditiva, aplicar aprendizado de máquina, realizar simulações, análise de texto e visualização interativa de dados. Auxiliar na expansão do uso da ciência de dados nas frentes de negócios: participar de reuniões com clientes.
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18621210/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (2);A Eleflow nasceu para tornar Big Data Analytics e Machine Learning mais acessíveis para as empresas. Com um time de Desenvolvedores, Engenheiros, Cientistas e Analistas de Dados experientes, motivados e curiosos buscamos ser os diferenciadores nos projetos que atuamos. reunir, interpretar e comunicar toda informação relevante contida em toneladas de dados que diariamente as empresas armazenam sobre o comportamento das pessoas, sejam elas seus clientes, prospects, funcionários etc. Experiência em ao menos uma destas linguagens: Python, SQL, R, Scala Experiência em pelo menos um destes Frameworks: Spark, PySpark, Databricks, WatsonStudio, SageMaker, Scikit-learn Experiência em pelo menos um ambiente de Cloud: AWS, Azure, GCP ou IBM Cloud. Conhecimento em estatística (Experiência em análise exploratória de dados e teste de hipóteses. Modelo preditivo e prescritivo e ao menos um destes pacotes de análise de dados e machine learning (como Pandas, NumPy, Matplotlib,) Requisitos Desejáveis:· Experiência prévia como desenvolvedor. Conhecimentos dos modelos Random Forest e XGBoost Conhecimento em versionamento e revisão de código (Git, ?github?, ?gitlab?)· Story telling, organizado(a), senso de urgência e priorização de demandas.
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18643859/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Conhecimento em BI, Data Warehouse/Data Lake  Transformação de dados por meio de ETLs/ELTs  Conhecimento em soluções em nuvem, de preferência Microsoft Azure. Experiência com APIs para extração e manipulação de dados  Conhecimentos em SQL Server Integration Services e SQL Server Analysis Services  Experiência em Python e Power BI  Experiência em modelagem de dados. Boa comunicação e relacionamento com as áreas técnicas  Capacidade analítica  Agilidade e flexibilidade  Organização  Ser autogerenciável  Resolução de problemas.
Cientista de Dados Júnior;https://www.catho.com.br/vagas/cientista-de-dados-junior/18615242/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);A Nexoos nasceu do sonho de fomentar o empreendedorismo e revolucionar o sistema financeiro no Brasil . Somos a plataforma líder no Brasil no modelo Peer to Peer lending e de crédito online para empresas, conectando investidores que buscam diversificar suas carteiras com empresas a procura de investimentos de forma mais justa e eficiente. Apaixonados por tecnologia, somos a primeira Fintech a operar como S.E.P. (Nova modalidade de Instituição financeira no Brasil), ou seja, atuamos sem intermediários, porque aqui quem lucra são nossos clientes e não o banco. Se você também acredita no nosso propósito e quer crescer ao lado dos melhores da área, junte-se ao nosso time! ? COMO FAZEMOS A DIFERENÇA: ? Temos senso de dono e sonhamos em democratizar o sistema financeiro brasileiro ? agimos com a coragem em prol das pequenas e médias empresas de todo o Brasil, tão impactadas pela crise econômica ? focamos no resultado e nos dedicamos a conquistar os melhores investidores do País ? somos resilientes e encontramos alternativas para driblar e superar obstáculos ? focamos no cliente para entregar uma experiência única e acima da expectativa ? buscamos nos divertir, aliando crescimento pessoal e profissional ao colaborar com o próximo ? que incansavelmente, somos a nossa melhor versão, com excelência todos os dias. #Somos Nexoos DO QUE SE TRATA ESTA VAGA: Para a vaga de Cientista de Dados Júnior. você será responsável por participar de nosso time de Ciência de Dados e levar a equipe da Nexoos o melhor em termos de ciência e automação. Estamos trabalhando de perto com modelos que melhoram a eficiência de nossas análises de crédito e ajudam outras áreas a serem mais eficientes e tomar decisões mais assertivas. O QUE ESPERAMOS DE VOCÊ: * Entusiasmo em aprender e utilizar Matemática, Econometria e Estatística. * Gostar do ambiente laboratorial. Trabalhamos na fronteira do conhecimento e o processo de errar e estar disposto a fazer tudo outra vez de forma diferente deve ser levado com naturalidade. * Gostar de programar. Hoje trabalhamos com Knime e Python. * Ter concluído um curso em exatas. * Ser pragmático. Trabalhamos orientados a resultado. RESPONSABILIDADE DA VAGA Ser pró-ativo e aprender rapidamente, saber relatar o acontecido, ter ciência do que se está fazendo. Sua responsabilidade é a excelência técnica. Fazemos análises e coletamos dados de modo que a companhia possa tomar a melhor decisão possível no momento correto. PONTOS EXTRAS PARA: * Ter Coordenador equipes de Design * Experiência com SCRUM e metodologias ágeis. BENEFÍCIOS DE UM NEXEER * Fazer parte do time que constitui a maior Fintech de Marketplace Lending da América Latina. * Ambiente dinâmico, colaborativo e inovador: para conseguir acompanhar o mercado e continuar inovando, nosso ritmo é acelerado e nossa curva de aprendizado é muito alta. Além disso, valorizamos um ambiente informal com contato direto e constante com os sócios e o CEO. * Honestidade e desenvolvimento: Aqui, você encontrará um ambiente que valoriza feedbacks 360° e 1:1. Acreditamos que a honestidade é a fórmula do desenvolvimento individual e do trabalho em equipe. * Localização acessível: atualmente nosso escritório se encontra ao lado do metrô Faria Lima, com fácil acesso através de transporte público. Achamos essencial nosso escritório ser acessível e próximo a um dos maiores polos de comércio e finanças do país. * Gympass: plataforma que te dá benefícios em mais de 18 mil academias no Brasil. Nas academias conveniadas são oferecidas mais de 700 modalidades esportivas, incluindo aulas de dança, artes marciais, musculação, yoga, aulas aquáticas, pilates e até massagem! * POSHER Benefícios In-Company : plataforma que oferece uma diversidade de serviços online para aumentar o seu nível de bem-estar e ajudar você a relaxar! Você terá acesso a aulas online de yoga, pilates, mindfulness, consultas com nutricionistas e psicólogos, aulas de inglês, espanhol e muito mais. Tudo isso sem perder tempo com deslocamento! * Plano de Saúde Unimed em parceria com a Vitta! Dando direito ao nosso colaborador ao PrimeCare: uma Equipe de Saúde 24/7, com tecnologia proprietária e time próprio, que pode ser acessada via WhatsApp ou pelo App. Ao ser atendido pelo médicos de plantão você terá direito de até 90% de subsídio no medicamento e reembolso de até R$220,00 por consulta * Auxílio creche * Cartão de Crédito Caju! Não quer gastar com comida!? Que tal usar seu VR para ir ao cinema ou à academia? O Cartão Caju dá a liberdade para o colaborador fazer o que quiser com o seu Vale Refeição. * Vale Transporte A NEXOOS É PARA VOCÊ? SIM, se você: * está afim de aprender muito, trabalhar muito e comemorar nossas conquistas * quer participar do crescimento acelerado de uma das fintechs que mais crescem no Brasil * quer se aperfeiçoar e se desenvolver como profissional * se sente responsável pelo mundo ao seu redor e quer trabalhar para mudar para melhor * possui tecnologia no seu DNA NÃO, se você: * procura um emprego cômodo e confortável para se estabilizar * está buscando apenas um emprego com um bom salário e benefícios E aí, gostou da vaga e viu que seu perfil é o que procuramos? VEM FAZER A DIFERENÇA COM A GENTE! Queremos muito te conhecer ?
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18383839/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Criar modelos utilizando estatística, machine learning, otimização e/ou teoria financeira. Comunicar aspectos técnicos e resultados analíticos para clientes (interno e externos) de diferentes backgrounds. Se responsabilizar por projetos (aspectos técnicos) do início ao fim: trabalhar de forma próxima com engenheiros de dados, cientistas de dados e equipes de produto e negócio para entrega de insights de qualidade e com robustez. Buscar proativamente oportunidades de melhorias em processos existentes. Conhecimento em modelagem estatística e técnicas de machine learning. Conhecimento em exploração de dados: criação de hipóteses a partir de um problema de negócios, desenho de experimentação através de dados, interpretação e métricas de sucesso (testes de hipóteses, A|B, comprovação / rejeição de hipótese) Habilidade com apresentações de resultados de projetos de ciência de dados, de forma compreensível pelas áreas de negócios, sem perda de rigor científico. Conhecimento em computação em nuvem (Azure) Conhecimento em linguagem SQL. Conhecimento em Python e suas bibliotecas de ML. Familiaridade com versionamento de código (Git).
Cientista de Dados - Processamento em Linguagem Natural NLP;https://www.catho.com.br/vagas/cientista-de-dados-processamento-em-linguagem-natural-nlp/18659045/?origem_apply=busca-de-vagas&entrada_apply=direto;Brasilia - DF (1);Modelo n-grama e Cadeia de Markov. Modelos de Palavras. Classificação de Texto. Classificação Por Compressão de Dados. Recuperação de Informação. Busca e Indexação de Texto. Apache Lucene (Busca e Indexação de Texto). Algoritmo PageRank (Busca textual). Algoritmos de Analise de Links (HITS e outros). Modelo n-grama e Cadeia de Markov. Modelos de Palavras Classificação de Texto. Classificação Por Compressão de Dados. Modelos Probabilísticos Para Extração de Informação. Ferramentas e APIs especialistas para análise de texto. Leitura de Máquina Extração de Informações. Extração de Entidades. Sistemas de Tradução Automática e Tradução Estatística. Sumarização automática. Reconhecimento de Voz. NLP SOM TTS (texto para fala). NLP SOM STT (fala para texto). Fundamentos de NLP. Análise de Sentimentos Transformação e preparação de linguagens naturais. Banco de dados noSQL e relacional, desenvolvimento em container, alguma linguagem de programação como Java Python, Scala, dentre outras, soluções de indexação e busca (SolR, Lucene, Elastic Search). linguagem funcional.
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18178781/?origem_apply=busca-de-vagas&entrada_apply=direto;Rio de Janeiro - RJ (1);QUE CASA É ESSA? A CASA&VIDEO é carioca da gema e uma das líderes em vendas no varejo fluminense, nos setores de utilidades domésticas, ferramentas, climatização e eletroportáteis. Estamos no estado do Rio de Janeiro, São Paulo, Espírito Santo, Minas gerais e em franca expansão. Somos uma Casa cheia de oportunidades de crescimento, clima alegre e descontraído. Para que tudo dê certo nas lojas, um time enorme trabalha na administração e no centro de distribuição. Isso significa que há muito espaço para quem quer fazer parte desta equipe. Nosso time é forte! A capacidade de trabalhar em grupo, o sentimento de dono, empatia, garra e disposição são características fáceis de encontrar por aqui.  Graduação completa em Estatística, Ciência da Computação, Análise de Sistemas ou áreas afins. Ter experiência com Machine Learning. Conhecimento em Cloud Computing com experiência nos serviços Amazon AWS, Azure ou similar. Experiência de programação em Python, R e SQL. Vivência em analisar dados desestruturados (data munging), Data Ingestion, Web Scrapping, ambientes de Big Data, Containers e APIs. Será um diferencial experiência no Varejo. Perfil criativo, com autogestão, alta capacidade analítica e cabeça aberta para novas técnicas e soluções.
Cientista de Dados;https://www.catho.com.br/vagas/cientista-de-dados/18608036/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (2);Procuramos alguém que...  Atue com trabalho cooperativo em equipe multiskill  Tenha formação em Ciências de Dados (Estatística, Física, Matemática, Engenharia da Computação, Economia, Ciências Atuariais ou similares)  Tenha conhecimento estatístico, análise estatística de dados e capacidade analítica  Atue com geração de insights de negócio  Aplicação de modelos preditivos  Faça desenvolvimento de dashboars  Tenha visão de business Esperamos que você tenha:  SQL, Pyhton, R, ferramentas de visualização (PowerBI, Tableau, etc.), Excel avançado e Inglês intermediário
