titulo;url;regiao;descricao
Engenheiro de Dados Etl;https://www.catho.com.br/vagas/engenheiro-de-dados-etl/18646877/?origem_apply=busca-de-vagas&entrada_apply=direto;Brasilia - DF (1);Buscamos profissionais para atuação: Criação, versionamento e manutenção de workflows para consumo, carregamento e processamento de dados. Criação de scripts de ETL de dados ,Deploy de modelos preditivos e criação de estrutura para acompanhamento de métricas e testes A/B de modelos. Criação e manutenção de base de dados para análises e relatórios. Coletar, limpar, combinar e tratar dados de diferentes fontes. Criar e implementar processos automatizados de Data Quality. Integração com ferramentas de governança e gerenciamento de dados. Contribuir na definição da arquitetura de dados da organização. Apoiar na criação e manutenção em ambiente de big data utilizando práticas devops e dataops. Disseminação de boas práticas para o time de engenharia. Realizar reviews de código para garantir a qualidade de código e dos dados. Realizar estimativas e análises técnicas de estórias. Formação em Ciências da Computação, Engenharia da Computação, Sistemas de Informação, Análise e Desenvolvimento de Sistemas ou áreas correlatas Conhecimento avançado em Python ou e/ou Scala e/ou Java. Conhecimentos básicos em Linux. Experiência imprescindível na ferramenta: Spark. Desejável Experiência em outras ferramentas como Databricks. Conhecimentos básicos em AWS ou Azure. Conhecimento avançado em SQL. Conhecimento em banco de dados relacionais e não relacionais. Experiência com processamento de dados (Streaming e batch). Experiência com CDC - Change Data. Capture. Raciocínio lógico e pensamento analítico Noções de kubernetes e docker. Bons conhecimentos em arquitetura de big data Conhecimentos em construção de API. Conhecimentos em Git. Conhecimentos em web scrap.
Engenheiro de Dados Sênior;https://www.catho.com.br/vagas/engenheiro-de-dados-senior/18656987/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Você trabalhará em estreita colaboração com nossa equipe de desenvolvimento, bem como com outras áreas da empresa, para melhorar e apoiar nossa tomada de decisão de dados.  - Coleta, análise e interpretação dos dados  - Criar comparações estatísticas  - Geração de Relatórios e documentação do projeto/produto  - Busca/Pesquisa de novas ferramentas e/ou tecnologias do mercado  - Tratamento/extração e análise de dados para ingestão em clusters de Big Data e afins  - Executar apresentações para explorar e expor resultados obtidos  - Criar pipelines confiáveis Requisitos:  - Experiência com Bancos de dados SQL, relacionais (Postgres / RDS)  - Experiência com banco de dados não relacionais (MongoDB)  - Conhecimento em Ferramentas ETL e pipelines de dados  - Conhecimento em Ferramentas de visualização (Metabase, entre outras)  - Experiência em Limpeza e avaliação de dados.    Perfil profissional:  - Hands On, disposto a fazer diversas atividades da área  - Profissional multi skills e com a mente aberta para aprender novas tecnologias e ferramentas  - Profissionais proativos, dinâmicos(as), com disposição para aprender algo novo todos os dias  - Motivados(as) em fazer parte de um time que busca entregar resultados de forma simples, eficiente e sustentável  - Capacidade de gerenciar seu próprio tempo  - Iniciativa e capacidade de trabalhar de forma independente e em equipe  Idioma:  Inglês - Intermediário
Engenheiro de Dados;https://www.catho.com.br/vagas/engenheiro-de-dados/18447908/?origem_apply=busca-de-vagas&entrada_apply=direto;São Caetano do Sul - SP (1);Responsável por gerenciar, otimizar, supervisionar e monitorar a recuperação, armazenamento e distribuição de dados em toda a organização. Engenheiros de dados são membros vitais de qualquer equipe corporativa de análise de dados.
Engenheiro de Dados;https://www.catho.com.br/vagas/engenheiro-de-dados/18632099/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Bacharelado em MIS, CIS, Estatística, Negócios ou área relacionada. - Experiência profissional relevante. - Experiência trabalhando com a Hadoop ou outra plataforma de Grandes Dados e construindo soluções que agregam valor através da alavancagem de dados como um ativo. - Proficiência em AWS, Drone e GitHub. - Experiência na construção de dutos de dados em lote e streaming usando sqoop, Kafka, Spark. - Conhecimento básico de Hive e Neo4j. - Capacidade demonstrada para definir conceitos e padrões arquitetônicos e sua utilização criando capacidades de acesso a dados escaláveis e sustentáveis. - Experiência trabalhando em SQL Queries/Views e paradigmas NoSQL para estruturas de dados e gráficos. - Forte experiência em trabalhar e projetar CI/CD e sua automação. - Capacidade de pensar além dos frameworks EDW e ESB quando se trata de dados. - Experiência demonstrada trabalhando com desenvolvimento de software de ponta a ponta utilizando metodologia ágil/scrum. - Motivado pelo aprendizado e experimentação, especialmente com um grupo pequeno e ágil de colegas. - Conhecimento sobre como os dados podem criar valor para os negócios/domínio (através do ciclo de vida) e apetite para construir esta habilidade ao longo do tempo. - Fortes habilidades interpessoais, capacidade demonstrada para construir confiança e fortes relacionamentos. - Fortes habilidades de comunicação e apresentação. - Orientação para os resultados e capacidade de trabalhar em situações ambíguas onde as exigências não são claras, especificações não em detalhes, etc. - Forte força conceitual, pensamento estratégico, resolução de problemas, habilidades técnicas e analíticas. - Aplicação demonstrada de forte consciência do mercado e foco no cliente. - Capacidade de usar uma abordagem empreendedora para resolver problemas comerciais. - Capacidade de fazer perguntas de próximo nível, antecipando consultas comerciais e realizando análise de causa raiz.
Engenheiro de Dados Sênior;https://www.catho.com.br/vagas/engenheiro-de-dados-senior/18658870/?origem_apply=busca-de-vagas&entrada_apply=direto;Jaguariuna - SP (1);Tratamento de dados, BI, Data Service. Necessário experiência na função/área. Ensino Superior na função.
Engenheiro de Dados;https://www.catho.com.br/vagas/engenheiro-de-dados/18658128/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Projetar, modelar, documentar e implementar Data Warehouses com banco de dados Oracle Projetar, modelar, documentar e implementar um Data Lake Realizar ingestão de dados em batch, em streaming, carga de dados de diferentes fontes, organização e segurança dos dados e integração com outros repositórios de dados Auxiliar Cientistas e Analistas de Dados a analisar Big Data e oferecer soluções analíticas Criar Pipelines completo de análise de dados Participar da análise de demandas e levantamento de escopo assim como da execução de projetos Definir as atividades necessárias para a realização de projetos, analisando os impactos em sistemas e processos através do entendimento da necessidade, conhecimento técnico e arquitetônico dos sistemas Prestar consultoria e apoiar as áreas clientes e demais áreas de TI, proporcionando o esclarecimento de dúvidas relacionados ao projeto, contribuindo para uma melhor análise de impactos de processos e sistemas sob sua responsabilidade Participar e liderar as reuniões de planejamento e acompanhamento dos projetos Quando necessário executar atividades de desenvolvimento, execução e testes necessários para garantir a qualidade e performance da entrega Participar das atividades de planejamento para a liberação do produto para homologação e produção, por meio da validação de testes de aceite, assim como documentação de não conformidades avaliando e planejando a execução das correções reportadas. Experiência com Desenho e Implantação de soluções de BI e Analytics Experiência com ferramentas de ETL e integração de dados Experiência com Big Data e ecossistema Hadoop (Spark, Sqoop, MapReduce, etc). Experiência em métodos ágeis: Scrum e Kanban Experiência em liderança de projetos de Data Warehouses: Design e Implementação Experiência em integração de dados tradicional (ETL): IBM Data Stage 8.5 e 11.3 Experiência técnica Oracle 12g (modelagem e manipulação de dados) Experiência em Data Lakes: Kafka, SQOOP, Spark streaming, Hadoop Experiência desejada em Analytics, Visualização, Relatórios e Tomada de Decisões com BIG Data: Power BI ou Tableau.
ENGENHEIRO DE DADOS;https://www.catho.com.br/vagas/engenheiro-de-dados/18325080/?origem_apply=busca-de-vagas&entrada_apply=direto;Maringa - PR (1);Gosta de desafios ?A Gerando Falcões está inaugurando uma nova posição de ENGENHEIRO DE DADOS.Se você está pronto para colocar a mão na massa, e fazer acontecer, então essa vaga é perfeita para você!Vem com a gente, vem ser Falcão! Ensino Superior Completo em: Ciência da Computação, Engenharia da Computação ou áreas relacionadasInglês: BásicoDomínio em linguagem SQL e PythonDomínio em banco de dados: SQL Server, Oracle, MySQL e NoSQLDomínio em ingestão, integração. processamento e armazenamento de dadosConhecimento em ferramentas de ETL como Pentaho, SSIS, Data FactoryConhecimento em uso e desenvolvimento de API'SConhecimento em ferramentas de report e visualização de inteligência de dados (Power BI, DataStudio, Tableau).
Engenheiro de Dados;https://www.catho.com.br/vagas/engenheiro-de-dados/18651257/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Criar pipelines de leitura, transformação, carga e processamento de dados de fontes diversas (Oracle, SQL, text files, API&#39s JSON e XML) organizando os dados em data lake e ambiente data warehouse. Bancos de dados SQL, Comunicação web por Webservices e Web API&#39s, organização de Data Lakes e plataformas de big data Azure Data Lake, Python, Apache Airflow e Apache Spark.
Engenheiro de Dados;https://www.catho.com.br/vagas/engenheiro-de-dados/18650367/?origem_apply=busca-de-vagas&entrada_apply=direto;São Paulo - SP (1);Desenvolvimento de soluções com grandes volumes de dados, seja offline ou real time. Ajudar na expansão da Plataforma Analítica, com foco em Self Service Analytics e ferramental Big Data. Garantir a preparação dos dados. Criação de modelos e indicadores. Parear com times de negócios Construção e otimização de ETL. Conhecimentos avançados em SQL. Experiência com modelagem dimensional de dados reporting e dashsboards como: Power BI Elevantamento de requisitos. Experiência em pipelines streaming e batch. Linguagens de programação, como: Java, Python ou Scala. Conhecimentos em otimização de performance em processos Spar. Experiência com tecnologias como: Apache Airflow , Spark , Kafka, AWS Redshift , EMR, S3, Glue , Hive e Athena) Ferramentas de automação e provisionamento.
Engenheiro de Dados;https://www.catho.com.br/vagas/engenheiro-de-dados/18624463/?origem_apply=busca-de-vagas&entrada_apply=direto;Rio de Janeiro - RJ (1);Somos uma empresa do grupo América Móvil, com mais de 30 anos de experiência no mercado de soluções digitais e serviços de TI na América Latina e Estados Unidos. Desde 2010, nossas conquistas têm crescido e para sustentá-las, contamos com aproximadamente 3.000 profissionais engajados no desenvolvimento consistente do nosso negócio no País. Apostamos em talentos, no trabalho em equipe, na diversidade e em um ambiente inclusivo. Acreditamos no desenvolvimento de pessoas, no empoderamento como meio de superação de limites e promoção de resultados. Temos a bordo profissionais, programas jovem aprendiz, estágio e trainee. Apoiamos boas práticas e a sustentabilidade. Requisitos necessários: * Superior completo em Tecnologia da Informação, Engenharia da Computação, Ciência da Computação ou áreas correlata * Linguagens de Programação: Java, Python e SQL * Bancos de Dados NoSQL: Graph DB, Document DB (HBase ou Bigtable) * Google Cloud Plataform * Pub/sub, bigquery, dataflow Requisitos desejáveis: * Kubernetes e Janusgraph Princpais atribuições: * Construir, gerenciar e evoluir o pipeline * Definir arquitetura e soluções técnicas dos projetos * Coleta, combinação e disponibilização de dados * Configurar/desenvolver a ingestão de dados * Garantir a disponibilidade e performance da plataforma de dados * Implementar/gerir métodos de confidencialidade de dados * Disponibilização e integração de dados * Desenvolver estrutura de informações e dados Importante: Todas as nossas vagas são elegíveis para profissionais com deficiência, equidade de gênero e raça/ etnia.
